simTime,simDelta,xPos,yPos,zPos,speed,heading,steering,gas,brake,state1,state2,state3,state4,state5,state6,eulerX,eulerY,eulerZ,rpm,gear,leftBlinker,rightBlinker
20.96583,0.016666,-89.0978,104.9477,-0.5031708,27.7806,-0.3399542,7.416,0.3379801,0,10,0,0,0,0,8.75,-0.06132075,-0.1864484,-0.3399542,1220.369,3,1,1
20.98249,0.016666,-88.89085,104.9466,-0.503186,27.77535,-0.3303188,7.416,0.3379801,0,10,0,0,0,0,8.75,-0.06321193,-0.1857721,-0.3303188,1220.341,3,1,1
20.99915,0.016666,-88.68394,104.9455,-0.5031984,27.77014,-0.3203958,7.452,0.3379801,0,10,0,0,0,0,8.75,-0.06465057,-0.1853723,-0.3203958,1219.886,3,1,1
21.01581,0.016666,-88.47707,104.9445,-0.5032077,27.76489,-0.3102187,7.56,0.3379801,0,10,0,0,0,0,8.75,-0.06562997,-0.1852413,-0.3102187,1219.805,3,1,1
21.03247,0.016666,-88.27024,104.9435,-0.5032142,27.75969,-0.2998225,7.704,0.3379801,0,10,0,0,0,0,8.75,-0.06616894,-0.1853683,-0.2998225,1219.438,3,1,1
21.04913,0.016666,-88.06345,104.9425,-0.5032177,27.75445,-0.2892414,7.848,0.3379801,0,10,0,0,0,0,8.75,-0.06631664,-0.1857374,-0.2892414,1219.324,3,1,1
21.06579,0.016666,-87.8567,104.9416,-0.5032183,27.7492,-0.2785074,8.064,0.2705907,0,10,0,0,0,0,8.75,-0.06613865,-0.18633,-0.2785074,1218.908,3,1,1
21.08245,0.016666,-87.64998,104.9407,-0.5032161,27.74383,-0.2676502,8.243999,0.2705907,0,10,0,0,0,0,8.75,-0.06570683,-0.1871423,-0.2676502,1218.531,3,1,1
21.09911,0.016666,-87.44331,104.9399,-0.5032111,27.73848,-0.2566942,8.424,0.2705907,0,10,0,0,0,0,8.75,-0.06510817,-0.1881547,-0.2566942,1218.124,3,1,1
21.11577,0.016666,-87.23667,104.9391,-0.5032034,27.73309,-0.2456576,8.639999,0.2705907,0,10,0,0,0,0,8.75,-0.06443737,-0.1893439,-0.2456576,1218.198,3,1,1
21.13243,0.016666,-87.03008,104.9383,-0.5031931,27.7277,-0.2345528,8.82,0.2705907,0,10,0,0,0,0,8.75,-0.06378836,-0.1906846,-0.2345528,1218.162,3,1,1
21.14909,0.016666,-86.82352,104.9376,-0.5031804,27.72233,-0.2233861,8.964,0.2705907,0,10,0,0,0,0,8.75,-0.06325039,-0.1921496,-0.2233861,1217.599,3,1,1
21.16575,0.016666,-86.617,104.9369,-0.5031654,27.71697,-0.2121584,9.072,0.3379801,0,10,0,0,0,0,8.75,-0.06290276,-0.193711,-0.2121584,1217.708,3,1,1
21.18241,0.016666,-86.41053,104.9363,-0.5031484,27.71176,-0.200865,9.144,0.3379801,0,10,0,0,0,0,8.75,-0.06281122,-0.1953274,-0.200865,1217.202,3,1,1
21.19907,0.016666,-89.0978,104.9477,-0.5031708,27.7806,-0.3399542,7.416,0.3379801,0,10,0,0,0,0,8.75,-0.06132075,-0.1864484,-0.3399542,1220.369,3,1,1
21.21573,0.016666,-88.89085,104.9466,-0.503186,27.77535,-0.3303188,7.416,0.3379801,0,10,0,0,0,0,8.75,-0.06321193,-0.1857721,-0.3303188,1220.341,3,1,1
21.23239,0.016666,-88.68394,104.9455,-0.5031984,27.77014,-0.3203958,7.452,0.3379801,0,10,0,0,0,0,8.75,-0.06465057,-0.1853723,-0.3203958,1219.886,3,1,1
21.24905,0.016666,-88.47707,104.9445,-0.5032077,27.76489,-0.3102187,7.56,0.3379801,0,10,0,0,0,0,8.75,-0.06562997,-0.1852413,-0.3102187,1219.805,3,1,1
21.26571,0.016666,-88.27024,104.9435,-0.5032142,27.75969,-0.2998225,7.704,0.3379801,0,10,0,0,0,0,8.75,-0.06616894,-0.1853683,-0.2998225,1219.438,3,1,1
21.28237,0.016666,-88.06345,104.9425,-0.5032177,27.75445,-0.2892414,7.848,0.3379801,0,10,0,0,0,0,8.75,-0.06631664,-0.1857374,-0.2892414,1219.324,3,1,1
21.29903,0.016666,-87.8567,104.9416,-0.5032183,27.7492,-0.2785074,8.064,0.2705907,0,10,0,0,0,0,8.75,-0.06613865,-0.18633,-0.2785074,1218.908,3,1,1
21.31569,0.016666,-87.64998,104.9407,-0.5032161,27.74383,-0.2676502,8.243999,0.2705907,0,10,0,0,0,0,8.75,-0.06570683,-0.1871423,-0.2676502,1218.531,3,1,1
21.33235,0.016666,-87.44331,104.9399,-0.5032111,27.73848,-0.2566942,8.424,0.2705907,0,10,0,0,0,0,8.75,-0.06510817,-0.1881547,-0.2566942,1218.124,3,1,1
21.34901,0.016666,-87.23667,104.9391,-0.5032034,27.73309,-0.2456576,8.639999,0.2705907,0,10,0,0,0,0,8.75,-0.06443737,-0.1893439,-0.2456576,1218.198,3,1,1
21.36567,0.016666,-87.03008,104.9383,-0.5031931,27.7277,-0.2345528,8.82,0.2705907,0,10,0,0,0,0,8.75,-0.06378836,-0.1906846,-0.2345528,1218.162,3,1,1
21.38233,0.016666,-86.82352,104.9376,-0.5031804,27.72233,-0.2233861,8.964,0.2705907,0,10,0,0,0,0,8.75,-0.06325039,-0.1921496,-0.2233861,1217.599,3,1,1
21.39899,0.016666,-86.617,104.9369,-0.5031654,27.71697,-0.2121584,9.072,0.3379801,0,10,0,0,0,0,8.75,-0.06290276,-0.193711,-0.2121584,1217.708,3,1,1
21.41565,0.016666,-86.41053,104.9363,-0.5031484,27.71176,-0.200865,9.144,0.3379801,0,10,0,0,0,0,8.75,-0.06281122,-0.1953274,-0.200865,1217.202,3,1,1
21.43231,0.016666,-86.20409,104.9357,-0.5031297,27.70654,-0.1894977,9.179999,0.3379801,0,10,0,0,0,0,8.1,-0.06302043,-0.1969675,-0.1894977,1216.936,3,1,1
21.44897,0.016666,-85.9977,104.9352,-0.5031095,27.70133,-0.1780465,9.179999,0.3379801,0,10,0,0,0,0,8.1,-0.06355073,-0.198605,-0.1780465,1216.98,3,1,1
21.46563,0.016666,-85.79134,104.9347,-0.5030882,27.69612,-0.1664996,9.144,0.3379801,0,10,0,0,0,0,8.1,-0.0643989,-0.2002185,-0.1664996,1216.492,3,1,1
21.48229,0.016666,-85.58501,104.9342,-0.5030662,27.69092,-0.1548451,9.035999,0.3379801,0,10,0,0,0,0,8.1,-0.06554036,-0.201786,-0.1548451,1216.18,3,1,1
21.49895,0.016666,-85.37873,104.9338,-0.5030439,27.6857,-0.1430717,8.856,0.3379801,0,10,0,0,0,0,8.1,-0.06693111,-0.2032891,-0.1430717,1216.104,3,1,1
21.51561,0.016666,-85.17249,104.9334,-0.5030216,27.68052,-0.1311699,8.603999,0.3379801,0,10,0,0,0,0,8.1,-0.06851132,-0.2047069,-0.1311699,1215.574,3,1,1
21.53227,0.016666,-84.96629,104.9331,-0.5029997,27.67529,-0.1191329,8.351999,0.3379801,0,10,0,0,0,0,8.1,-0.0702101,-0.2060248,-0.1191329,1215.807,3,1,1
21.54893,0.016666,-84.76012,104.9328,-0.5029786,27.67007,-0.1069579,8.028,0.3379801,0,10,0,0,0,0,8.1,-0.07195047,-0.2072266,-0.1069579,1215.593,3,1,1
21.56559,0.016666,-84.55399,104.9326,-0.5029585,27.66487,-0.0946466,7.74,0.3379801,0,10,0,0,0,0,8.1,-0.0736501,-0.2082993,-0.0946466,1215.455,3,1,1
21.58225,0.016666,-84.3479,104.9324,-0.5029399,27.65968,-0.08220611,7.416,0.3379801,0,10,0,0,0,0,8.1,-0.07522436,-0.209234,-0.08220611,1214.891,3,1,1
21.59891,0.016666,-84.14185,104.9322,-0.502923,27.65448,-0.06964927,7.128,0.3379801,0,10,0,0,0,0,8.1,-0.07659166,-0.2100221,-0.06964927,1214.655,3,1,1
21.61557,0.016666,-83.93584,104.9321,-0.502908,27.64927,-0.05699482,6.804,0.3379801,0,10,0,0,0,0,8.1,-0.07767606,-0.210659,-0.05699482,1214.404,3,1,1
21.63223,0.016666,-83.72987,104.9321,-0.5028952,27.64408,-0.04426676,6.552,0.3379801,0,10,0,0,0,0,8.1,-0.07841223,-0.2111411,-0.04426676,1214.373,3,1,1
21.64889,0.016666,-83.52393,104.9321,-0.5028847,27.63888,-0.03149387,6.3,0.3379801,0,10,0,0,0,0,8.1,-0.07874884,-0.2114716,-0.03149387,1213.96,3,1,1
21.66555,0.016666,-83.31804,104.9321,-0.5028768,27.6337,-0.01870844,6.084,0.3379801,0,10,0,0,0,0,8.1,-0.07865237,-0.2116508,-0.01870844,1213.602,3,1,1
21.68221,0.016666,-83.11218,104.9322,-0.5028716,27.62849,-0.005945242,5.904,0.3379801,0,10,0,0,0,0,8.1,-0.07810532,-0.211683,-0.005945242,1213.672,3,1,1
21.69887,0.016666,-82.90636,104.9323,-0.5028689,27.62329,0.006759671,5.76,0.2705907,0,10,0,0,0,0,8.1,-0.07711606,-0.2115718,0.006759671,1213.073,3,1,1
21.71553,0.016666,-82.70058,104.9324,-0.5028687,27.61796,0.01936961,5.688,0.2705907,0,10,0,0,0,0,8.1,-0.07571701,-0.2113385,0.01936961,1212.692,3,1,1
21.73219,0.016666,-82.49484,104.9326,-0.5028709,27.6126,0.03184966,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.07396057,-0.210996,0.03184966,1212.851,3,1,1
21.74885,0.016666,-82.28915,104.9329,-0.5028753,27.60726,0.04416769,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.07191667,-0.2105557,0.04416769,1212.397,3,1,1
21.76551,0.016666,-82.08349,104.9332,-0.5028818,27.60192,0.0562957,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06966864,-0.2100249,0.0562957,1212.327,3,1,1
21.78217,0.016666,-81.87787,104.9335,-0.5028899,27.59658,0.06820986,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06730483,-0.2094153,0.06820986,1212.221,3,1,1
21.79883,0.016666,-81.67229,104.9338,-0.5028996,27.59123,0.07989147,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06491357,-0.2087407,0.07989147,1211.751,3,1,1
21.81549,0.016666,-81.46675,104.9342,-0.5029107,27.58589,0.09132771,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06258022,-0.2080123,0.09132771,1211.756,3,1,1
21.83215,0.016666,-81.26125,104.9347,-0.5029229,27.58055,0.1025113,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06038179,-0.2072437,0.1025113,1211.271,3,1,1
21.84881,0.016666,-81.05579,104.9352,-0.5029359,27.57523,0.1134407,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.05838353,-0.2064481,0.1134407,1211.091,3,1,1
21.86547,0.016666,-80.85036,104.9357,-0.5029497,27.56987,0.1241193,5.544,0.2705907,0,10,0,0,0,0,8.1,-0.0566336,-0.2056405,0.1241193,1211.113,3,1,1
21.88213,0.016666,-80.64499,104.9362,-0.502964,27.56454,0.1345548,5.436,0.2705907,0,10,0,0,0,0,8.1,-0.05516312,-0.2048329,0.1345548,1210.625,3,1,1
21.89879,0.016666,-80.43965,104.9368,-0.5029785,27.55921,0.1447587,5.256,0.3379801,0,10,0,0,0,0,8.1,-0.05398506,-0.2040395,0.1447587,1210.431,3,1,1
21.91545,0.016666,-80.23434,104.9374,-0.502993,27.55404,0.154746,5.076,0.3379801,0,10,0,0,0,0,8.1,-0.05309794,-0.2032562,0.154746,1210.128,3,1,1
21.93211,0.016666,-80.02908,104.938,-0.5030072,27.54888,0.1645327,4.86,0.3379801,0,10,0,0,0,0,8.1,-0.05248206,-0.2024908,0.1645327,1209.896,3,1,1
21.94877,0.016666,-79.82386,104.9387,-0.5030211,27.54369,0.1741341,4.716,0.3379801,0,10,0,0,0,0,8.1,-0.05210191,-0.2017546,0.1741341,1209.875,3,1,1
21.96543,0.016666,-79.61868,104.9395,-0.5030343,27.53853,0.1835645,4.428,0.3379801,0,10,0,0,0,0,8.1,-0.05190834,-0.2010553,0.1835645,1209.606,3,1,1
21.98209,0.016666,-79.41353,104.9402,-0.5030468,27.53333,0.1928358,4.14,0.3379801,0,10,0,0,0,0,8.1,-0.05184035,-0.2004041,0.1928358,1209.481,3,1,1
21.99875,0.016666,-79.20842,104.941,-0.5030583,27.52816,0.2019567,3.816,0.2705907,0,10,0,0,0,0,8.1,-0.05183034,-0.1998069,0.2019567,1208.897,3,1,1
22.01541,0.016666,-79.00336,104.9418,-0.5030687,27.52284,0.210932,3.456,0.2705907,0,10,0,0,0,0,8.1,-0.05180577,-0.199284,0.210932,1209,3,1,1
22.03207,0.016666,-78.79832,104.9427,-0.5030781,27.5175,0.2197627,3.096,0.2705907,0,10,0,0,0,0,8.1,-0.05169604,-0.1988474,0.2197627,1208.599,3,1,1
22.04873,0.016666,-78.59334,104.9435,-0.5030864,27.51219,0.2284467,2.7,0.2705907,0,10,0,0,0,0,8.1,-0.05143923,-0.1984975,0.2284467,1208.332,3,1,1
22.06539,0.016666,-78.38839,104.9444,-0.5030934,27.50686,0.2369777,2.34,0.2705907,0,10,0,0,0,0,8.1,-0.05098303,-0.1982362,0.2369777,1208.101,3,1,1
22.08205,0.016666,-78.18348,104.9454,-0.5030992,27.50154,0.2453452,1.98,0.2705907,0,10,0,0,0,0,8.1,-0.05028656,-0.1980593,0.2453452,1207.985,3,1,1
22.09871,0.016666,-77.97861,104.9463,-0.5031036,27.49622,0.2535347,1.656,0.2705907,0,10,0,0,0,0,8.1,-0.04931915,-0.1979647,0.2535347,1207.599,3,1,1
22.11537,0.016666,-77.77378,104.9473,-0.5031067,27.49089,0.2615282,1.368,0.2705907,0,10,0,0,0,0,8.1,-0.04805829,-0.1979485,0.2615282,1207.458,3,1,1
22.13203,0.016666,-77.56899,104.9483,-0.5031082,27.48559,0.2693048,1.116,0.2705907,0,10,0,0,0,0,8.1,-0.04649354,-0.1980044,0.2693048,1206.957,3,1,1
22.14869,0.016666,-77.36424,104.9494,-0.5031083,27.48028,0.2768417,0.864,0.2705907,0,10,0,0,0,0,8.1,-0.0446269,-0.198128,0.2768417,1206.781,3,1,1
22.16535,0.016666,-77.15953,104.9504,-0.5031068,27.47495,0.2841147,0.684,0.2705907,0,10,0,0,0,0,8.1,-0.04247282,-0.1983151,0.2841147,1206.654,3,1,1
22.18201,0.016666,-76.95486,104.9515,-0.5031039,27.46965,0.2911,0.576,0.2705907,0,10,0,0,0,0,8.1,-0.04005934,-0.1985574,0.2911,1206.222,3,1,1
22.19867,0.016666,-76.75023,104.9526,-0.5030994,27.46434,0.2977749,0.504,0.2705907,0,10,0,0,0,0,8.1,-0.03742627,-0.1988489,0.2977749,1206.117,3,1,1
22.21533,0.016666,-76.54564,104.9537,-0.5030936,27.45902,0.3041185,0.432,0.2705907,0,10,0,0,0,0,8.1,-0.03462317,-0.1991837,0.3041185,1205.958,3,1,1
22.23199,0.016666,-76.34109,104.9548,-0.5030865,27.45371,0.3101131,0.432,0.2705907,0,10,0,0,0,0,8.1,-0.03170802,-0.199554,0.3101131,1205.726,3,1,1
22.24865,0.016666,-76.13657,104.956,-0.5030782,27.44841,0.3157454,0.432,0.2705907,0,10,0,0,0,0,8.1,-0.02874468,-0.1999514,0.3157454,1205.677,3,1,1
22.26531,0.016666,-75.9321,104.9571,-0.5030689,27.44309,0.3210063,0.504,0.2705907,0,10,0,0,0,0,8.1,-0.02579936,-0.2003694,0.3210063,1205.51,3,1,1
22.28197,0.016666,-75.72767,104.9583,-0.5030588,27.4378,0.325892,0.612,0.2705907,0,10,0,0,0,0,8.1,-0.02293776,-0.2008015,0.325892,1205.007,3,1,1
22.29863,0.016666,-75.52327,104.9595,-0.503048,27.43249,0.3304044,0.684,0.2705907,0,10,0,0,0,0,8.1,-0.02022363,-0.201241,0.3304044,1205.053,3,1,1
22.31529,0.016666,-75.31892,104.9607,-0.5030369,27.42718,0.3345507,0.792,0.2705907,0,10,0,0,0,0,8.1,-0.01771439,-0.2016818,0.3345507,1204.75,3,1,1
22.33195,0.016666,-86.20409,104.9357,-0.5031297,27.70654,-0.1894977,9.179999,0.3379801,0,10,0,0,0,0,8.1,-0.06302043,-0.1969675,-0.1894977,1216.936,3,1,1
22.34861,0.016666,-85.9977,104.9352,-0.5031095,27.70133,-0.1780465,9.179999,0.3379801,0,10,0,0,0,0,8.1,-0.06355073,-0.198605,-0.1780465,1216.98,3,1,1
22.36527,0.016666,-85.79134,104.9347,-0.5030882,27.69612,-0.1664996,9.144,0.3379801,0,10,0,0,0,0,8.1,-0.0643989,-0.2002185,-0.1664996,1216.492,3,1,1
22.38193,0.016666,-85.58501,104.9342,-0.5030662,27.69092,-0.1548451,9.035999,0.3379801,0,10,0,0,0,0,8.1,-0.06554036,-0.201786,-0.1548451,1216.18,3,1,1
22.39859,0.016666,-85.37873,104.9338,-0.5030439,27.6857,-0.1430717,8.856,0.3379801,0,10,0,0,0,0,8.1,-0.06693111,-0.2032891,-0.1430717,1216.104,3,1,1
22.41525,0.016666,-85.17249,104.9334,-0.5030216,27.68052,-0.1311699,8.603999,0.3379801,0,10,0,0,0,0,8.1,-0.06851132,-0.2047069,-0.1311699,1215.574,3,1,1
22.43191,0.016666,-84.96629,104.9331,-0.5029997,27.67529,-0.1191329,8.351999,0.3379801,0,10,0,0,0,0,8.1,-0.0702101,-0.2060248,-0.1191329,1215.807,3,1,1
22.44857,0.016666,-84.76012,104.9328,-0.5029786,27.67007,-0.1069579,8.028,0.3379801,0,10,0,0,0,0,8.1,-0.07195047,-0.2072266,-0.1069579,1215.593,3,1,1
22.46523,0.016666,-84.55399,104.9326,-0.5029585,27.66487,-0.0946466,7.74,0.3379801,0,10,0,0,0,0,8.1,-0.0736501,-0.2082993,-0.0946466,1215.455,3,1,1
22.48189,0.016666,-84.3479,104.9324,-0.5029399,27.65968,-0.08220611,7.416,0.3379801,0,10,0,0,0,0,8.1,-0.07522436,-0.209234,-0.08220611,1214.891,3,1,1
22.49855,0.016666,-84.14185,104.9322,-0.502923,27.65448,-0.06964927,7.128,0.3379801,0,10,0,0,0,0,8.1,-0.07659166,-0.2100221,-0.06964927,1214.655,3,1,1
22.51521,0.016666,-83.93584,104.9321,-0.502908,27.64927,-0.05699482,6.804,0.3379801,0,10,0,0,0,0,8.1,-0.07767606,-0.210659,-0.05699482,1214.404,3,1,1
22.53187,0.016666,-83.72987,104.9321,-0.5028952,27.64408,-0.04426676,6.552,0.3379801,0,10,0,0,0,0,8.1,-0.07841223,-0.2111411,-0.04426676,1214.373,3,1,1
22.54853,0.016666,-83.52393,104.9321,-0.5028847,27.63888,-0.03149387,6.3,0.3379801,0,10,0,0,0,0,8.1,-0.07874884,-0.2114716,-0.03149387,1213.96,3,1,1
22.56519,0.016666,-83.31804,104.9321,-0.5028768,27.6337,-0.01870844,6.084,0.3379801,0,10,0,0,0,0,8.1,-0.07865237,-0.2116508,-0.01870844,1213.602,3,1,1
22.58185,0.016666,-83.11218,104.9322,-0.5028716,27.62849,-0.005945242,5.904,0.3379801,0,10,0,0,0,0,8.1,-0.07810532,-0.211683,-0.005945242,1213.672,3,1,1
22.59851,0.016666,-82.90636,104.9323,-0.5028689,27.62329,0.006759671,5.76,0.2705907,0,10,0,0,0,0,8.1,-0.07711606,-0.2115718,0.006759671,1213.073,3,1,1
22.61517,0.016666,-82.70058,104.9324,-0.5028687,27.61796,0.01936961,5.688,0.2705907,0,10,0,0,0,0,8.1,-0.07571701,-0.2113385,0.01936961,1212.692,3,1,1
22.63183,0.016666,-82.49484,104.9326,-0.5028709,27.6126,0.03184966,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.07396057,-0.210996,0.03184966,1212.851,3,1,1
22.64849,0.016666,-82.28915,104.9329,-0.5028753,27.60726,0.04416769,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.07191667,-0.2105557,0.04416769,1212.397,3,1,1
22.66515,0.016666,-82.08349,104.9332,-0.5028818,27.60192,0.0562957,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06966864,-0.2100249,0.0562957,1212.327,3,1,1
22.68181,0.016666,-81.87787,104.9335,-0.5028899,27.59658,0.06820986,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06730483,-0.2094153,0.06820986,1212.221,3,1,1
22.69847,0.016666,-81.67229,104.9338,-0.5028996,27.59123,0.07989147,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06491357,-0.2087407,0.07989147,1211.751,3,1,1
22.71513,0.016666,-81.46675,104.9342,-0.5029107,27.58589,0.09132771,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06258022,-0.2080123,0.09132771,1211.756,3,1,1
22.73179,0.016666,-81.26125,104.9347,-0.5029229,27.58055,0.1025113,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06038179,-0.2072437,0.1025113,1211.271,3,1,1
22.74845,0.016666,-81.05579,104.9352,-0.5029359,27.57523,0.1134407,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.05838353,-0.2064481,0.1134407,1211.091,3,1,1
22.76511,0.016666,-80.85036,104.9357,-0.5029497,27.56987,0.1241193,5.544,0.2705907,0,10,0,0,0,0,8.1,-0.0566336,-0.2056405,0.1241193,1211.113,3,1,1
22.78177,0.016666,-80.64499,104.9362,-0.502964,27.56454,0.1345548,5.436,0.2705907,0,10,0,0,0,0,8.1,-0.05516312,-0.2048329,0.1345548,1210.625,3,1,1
22.79843,0.016666,-80.43965,104.9368,-0.5029785,27.55921,0.1447587,5.256,0.3379801,0,10,0,0,0,0,8.1,-0.05398506,-0.2040395,0.1447587,1210.431,3,1,1
22.81509,0.016666,-80.23434,104.9374,-0.502993,27.55404,0.154746,5.076,0.3379801,0,10,0,0,0,0,8.1,-0.05309794,-0.2032562,0.154746,1210.128,3,1,1
22.83175,0.016666,-80.02908,104.938,-0.5030072,27.54888,0.1645327,4.86,0.3379801,0,10,0,0,0,0,8.1,-0.05248206,-0.2024908,0.1645327,1209.896,3,1,1
22.84841,0.016666,-79.82386,104.9387,-0.5030211,27.54369,0.1741341,4.716,0.3379801,0,10,0,0,0,0,8.1,-0.05210191,-0.2017546,0.1741341,1209.875,3,1,1
22.86507,0.016666,-79.61868,104.9395,-0.5030343,27.53853,0.1835645,4.428,0.3379801,0,10,0,0,0,0,8.1,-0.05190834,-0.2010553,0.1835645,1209.606,3,1,1
22.88173,0.016666,-79.41353,104.9402,-0.5030468,27.53333,0.1928358,4.14,0.3379801,0,10,0,0,0,0,8.1,-0.05184035,-0.2004041,0.1928358,1209.481,3,1,1
22.89839,0.016666,-79.20842,104.941,-0.5030583,27.52816,0.2019567,3.816,0.2705907,0,10,0,0,0,0,8.1,-0.05183034,-0.1998069,0.2019567,1208.897,3,1,1
22.91505,0.016666,-79.00336,104.9418,-0.5030687,27.52284,0.210932,3.456,0.2705907,0,10,0,0,0,0,8.1,-0.05180577,-0.199284,0.210932,1209,3,1,1
22.93171,0.016666,-78.79832,104.9427,-0.5030781,27.5175,0.2197627,3.096,0.2705907,0,10,0,0,0,0,8.1,-0.05169604,-0.1988474,0.2197627,1208.599,3,1,1
